ts,price_eur_per_mwh,allocation
2015-01-09 03:00:00+00:00,16.26,1.2184556792126958e-22
2015-01-09 04:00:00+00:00,19.94,6.127448535912057e-23
2015-01-09 05:00:00+00:00,24.36,9.323077973619543e-23
2015-01-09 06:00:00+00:00,29.24,8.688659072596898e-23
2015-01-09 07:00:00+00:00,27.45,1.4925113756740762e-22
2015-01-09 08:00:00+00:00,27.38,8.972315593362662e-23
2015-01-09 09:00:00+00:00,27.33,3.528794445021445e-23
2015-01-09 10:00:00+00:00,27.23,3.5231470330573544e-23
2015-01-09 11:00:00+00:00,27.15,9.070797109892188e-23
2015-01-09 12:00:00+00:00,27.08,3.5208540237929805e-23
2015-01-09 13:00:00+00:00,27.03,1.4620008355323665e-22
2015-01-09 14:00:00+00:00,27.02,3.526419700041344e-23
2015-01-09 15:00:00+00:00,27.12,3.516387716177714e-23
2015-01-09 16:00:00+00:00,27.15,1.4623171828666489e-22
2015-01-09 17:00:00+00:00,27.1,3.51924834589606e-23
2015-01-09 18:00:00+00:00,27.02,9.047133846687574e-23
2015-01-09 19:00:00+00:00,26.96,1.4755620636359287e-22
2015-01-09 20:00:00+00:00,26.69,3.459005325904659e-23
2015-01-09 21:00:00+00:00,21.64,1.4197912548311498e-22
2015-01-09 22:00:00+00:00,14.72,9.855323434692782e-23
2015-01-09 23:00:00+00:00,21.94,3.117337778871225e-23
2015-01-10 00:00:00+00:00,25.08,8.836164251570066e-23
2015-01-10 01:00:00+00:00,20.91,3.796759859944315e-23
2015-01-10 02:00:00+00:00,20.68,1.4899720590153364e-22
2015-01-10 03:00:00+00:00,21.91,2.8848096628476946e-23
2015-01-10 04:00:00+00:00,12.28,1.219197161058764e-22
2015-01-10 05:00:00+00:00,7.19,1.0598427424626974e-22
2015-01-10 06:00:00+00:00,9.31,1.0138267596044058e-22
2015-01-10 07:00:00+00:00,11.35,9.384001450361831e-23
2015-01-10 08:00:00+00:00,15.87,3.268595827211439e-23
2015-01-10 09:00:00+00:00,15.84,9.111754219268636e-23
2015-01-10 10:00:00+00:00,14.83,9.216035227058085e-23
2015-01-10 11:00:00+00:00,15.83,6.232790783004675e-23
2015-01-10 12:00:00+00:00,14.85,6.168577247350998e-23
2015-01-10 13:00:00+00:00,11.42,1.1979315344837922e-22
2015-01-10 14:00:00+00:00,11.34,9.05954312057069e-23
2015-01-10 15:00:00+00:00,14.15,6.633484016266204e-23
2015-01-10 16:00:00+00:00,17.09,5.482742847186354e-22
2015-01-10 17:00:00+00:00,18.87,-7.14109095040281e-21
2015-01-10 18:00:00+00:00,13.44,0.015546779757662143
2015-01-10 19:00:00+00:00,15.82,0.12006832786885245
2015-01-10 20:00:00+00:00,11.51,0.337364644333571
2015-01-10 21:00:00+00:00,11.81,0.6243357291518177
2015-01-10 22:00:00+00:00,5.08,0.9839815823235926
